center_id,center_name,owner_name,center_type,phone,alt_phone,email,whatsapp,address,city,state,pincode,map_url,registration_number,gst_number,services,home_sample,operational_hours,account_holder_name,bank_name,account_number,ifsc_code,upi_id,profile_image_url,password
dc0069,Gibbs PLC Diagnostics,Timothy Walsh,Radiology,4536065617,6987109046,dc0069@example.com,8378582608,7891 Dana Flats Apt. 712,Mooreborough,New Hampshire,97592,https://maps.google.com/?q=North David,576136,18875,"Blood Test, X-Ray, MRI",Yes,8:00 - 17:00,Jason Moreno,"Kirk, Quinn and Blevins",1227382953,IFSC0001234,melissaclark@upi,/uploads/profiles/center69.jpg,448504
dc0070,Mercado LLC Diagnostics,Maria Nicholson,Imaging,8915327459,5996833813,dc0070@example.com,9622667143,83147 Lee Junction,East Barbara,Ohio,69102,https://maps.google.com/?q=New Davidmouth,837838,691066,"CT Scan, Mammography",No,8:00 - 18:00,Benjamin Montgomery,"Marks, Scott and Pearson",6978511603,IFSC0001234,aguzman@upi,/uploads/profiles/center70.jpg,858691
dc0071,"Hudson, Rodriguez and Griffin Diagnostics",Emily Lyons,Imaging,4145580463,3184494036,dc0071@example.com,2157842732,377 Anna Crossing Suite 298,Brownbury,Georgia,71893,https://maps.google.com/?q=Robinsonchester,769669,595750,"CT Scan, Mammography",Yes,8:00 - 19:00,Jake Morrison,Kemp-Skinner,9168792313,IFSC0001234,stevenbyrd@upi,/uploads/profiles/center71.jpg,796479
dc0072,"Mcpherson, Farrell and Dawson Diagnostics",Charles Rios,Multi-specialty,6644110555,8671040512,dc0072@example.com,7251556010,8022 Dawn Drives,Hansenshire,Massachusetts,66388,https://maps.google.com/?q=West Robin,742348,559059,"CT Scan, Mammography",No,10:00 - 18:00,Melissa Obrien,Johnson LLC,9845144324,IFSC0001234,hayneshenry@upi,/uploads/profiles/center72.jpg,546633
dc0073,Jones-Bell Diagnostics,Edward Anderson,Imaging,7791841189,2455919655,dc0073@example.com,0962200731,96054 Powell Drive,Stewarttown,Maryland,16682,https://maps.google.com/?q=East Hannahville,221567,525216,"Blood Test, X-Ray, MRI",Yes,9:00 - 18:00,John Hughes,"Bennett, Brown and Armstrong",3931607674,IFSC0001234,djames@upi,/uploads/profiles/center73.jpg,170705
dc0074,"Hudson, Ali and Smith Diagnostics",Thomas Sanchez,Cardiology Lab,9329182772,6467373822,dc0074@example.com,0637628808,0686 Sarah Cliffs,Davidburgh,Missouri,88843,https://maps.google.com/?q=Port Jonathan,370581,31423,"Blood Test, X-Ray, MRI",Yes,9:00 - 21:00,Michael Mccormick,"Lopez, Foley and Santos",3060398076,IFSC0001234,agibson@upi,/uploads/profiles/center74.jpg,575582
dc0075,"Rogers, Walls and Mora Diagnostics",Christopher Kelley DDS,Radiology,4674119131,0659379043,dc0075@example.com,4035980889,7468 Cruz Lights,West Jennifer,Arkansas,57475,https://maps.google.com/?q=North David,727936,381425,"Blood Test, X-Ray, MRI",Yes,9:00 - 18:00,Patricia Stewart,Valentine-Miller,4422372964,IFSC0001234,sarah61@upi,/uploads/profiles/center75.jpg,534773
dc0076,Mcdonald-Davis Diagnostics,Julia Rivera,Multi-specialty,4365960179,2044135629,dc0076@example.com,6065090515,72539 Wilson Green Apt. 210,East Michaelberg,Georgia,91024,https://maps.google.com/?q=Davidsonshire,435345,846626,"ECG, Ultrasound",Yes,9:00 - 17:00,Daniel Hall,"Jimenez, Ramirez and Vance",5968946687,IFSC0001234,williamsamy@upi,/uploads/profiles/center76.jpg,739299
dc0077,"Anderson, Chapman and Webb Diagnostics",Sarah Waters,Imaging,1950930633,9863278674,dc0077@example.com,2073996622,1995 Donna Forks Suite 438,North Joseph,South Dakota,49401,https://maps.google.com/?q=South Donside,927104,684311,"ECG, Ultrasound",Yes,10:00 - 19:00,Patricia Davis,Carter and Sons,9308248091,IFSC0001234,hernandezelizabeth@upi,/uploads/profiles/center77.jpg,725139
dc0078,"Lynch, Watkins and Camacho Diagnostics",Wesley Davis,Pathology,6370972332,0383931110,dc0078@example.com,6211161659,408 Ochoa Light,South Michaelton,Michigan,37584,https://maps.google.com/?q=Joneschester,605572,409950,"CT Scan, Mammography",Yes,10:00 - 22:00,Terri Lozano,Santos Group,5196404303,IFSC0001234,amanda74@upi,/uploads/profiles/center78.jpg,101008
dc0079,"Scott, Massey and Juarez Diagnostics",Brandon Arias,Multi-specialty,4358783310,4528999976,dc0079@example.com,4808311302,73143 Steven Inlet Apt. 861,Petermouth,Montana,24380,https://maps.google.com/?q=West Williamborough,448442,46523,"ECG, Ultrasound",Yes,8:00 - 21:00,Michael Riley Jr.,"Rice, Knox and Robertson",7288395169,IFSC0001234,johnallen@upi,/uploads/profiles/center79.jpg,593517
dc0080,Stanley Ltd Diagnostics,Denise Hunt,Cardiology Lab,1021584882,1886110189,dc0080@example.com,2050062779,2550 Reyes Stream,Port James,Iowa,87796,https://maps.google.com/?q=West Alicia,226834,89880,"ECG, Ultrasound",No,9:00 - 18:00,Christopher Good,Kelly-Thomas,2984862576,IFSC0001234,coxjonathan@upi,/uploads/profiles/center80.jpg,742930
dc0081,Martinez Inc Diagnostics,Jessica Buckley,Cardiology Lab,3198428586,2733359554,dc0081@example.com,0664117158,378 Shaw Passage,West Theresaport,Massachusetts,75338,https://maps.google.com/?q=South Kevinmouth,260344,557695,"ECG, Ultrasound",No,7:00 - 21:00,Daniel Parker,Dixon-Bates,6881720747,IFSC0001234,melissa48@upi,/uploads/profiles/center81.jpg,973679
dc0082,"Warren, Jones and Glover Diagnostics",John Barnes,Cardiology Lab,3692486195,6912094353,dc0082@example.com,0594537194,16957 Douglas Wall Apt. 502,East Paigeborough,California,37206,https://maps.google.com/?q=Lake Oliviamouth,21492,655970,"Blood Test, X-Ray, MRI",No,8:00 - 21:00,Sharon Crosby,Hopkins-Contreras,8360174165,IFSC0001234,jameslam@upi,/uploads/profiles/center82.jpg,815857
dc0083,Cain-Johnson Diagnostics,William West,Multi-specialty,8754347722,7211802606,dc0083@example.com,3657175975,80447 Johnson Ramp,South Georgeshire,Kansas,38630,https://maps.google.com/?q=Port Troy,970304,144126,"ECG, Ultrasound",Yes,10:00 - 17:00,Susan Wade,Mendoza PLC,8342850154,IFSC0001234,bbruce@upi,/uploads/profiles/center83.jpg,861342
dc0084,Lopez-Frazier Diagnostics,John Preston,Imaging,3607627194,5168115533,dc0084@example.com,1774978454,227 Emily Camp,East Kevinton,New Mexico,78109,https://maps.google.com/?q=Garciachester,240532,720666,"Blood Test, X-Ray, MRI",No,8:00 - 19:00,David Harris,Martin-Miller,4301265272,IFSC0001234,adamday@upi,/uploads/profiles/center84.jpg,799633
dc0085,"Key, Bradford and Taylor Diagnostics",Christopher Smith,Cardiology Lab,3731661884,7711544526,dc0085@example.com,9311523009,03347 Victoria Fields Apt. 796,Hammondborough,Arkansas,53414,https://maps.google.com/?q=Lake Warren,171311,506124,"ECG, Ultrasound",Yes,9:00 - 20:00,Christopher Brennan,Bates-Ross,1443857716,IFSC0001234,ramirezdustin@upi,/uploads/profiles/center85.jpg,175097
dc0086,Garcia PLC Diagnostics,Ryan Bryant,Cardiology Lab,5334903817,3604487136,dc0086@example.com,7481955746,5954 Oconnor Parks Apt. 484,Maryton,Iowa,10677,https://maps.google.com/?q=Lake Meganborough,253664,795993,"ECG, Ultrasound",No,9:00 - 22:00,Tammy Goodman,Rice-Lindsey,2182788374,IFSC0001234,orozcotara@upi,/uploads/profiles/center86.jpg,782515
dc0087,Smith-Fritz Diagnostics,Michaela Richardson,Multi-specialty,2910325377,1942720283,dc0087@example.com,5160066782,0270 Carney Port Suite 772,Lake Jill,Alabama,89411,https://maps.google.com/?q=Whiteburgh,895235,294440,"CT Scan, Mammography",No,8:00 - 17:00,Carol Marshall,Chang and Sons,1031136045,IFSC0001234,suzannenichols@upi,/uploads/profiles/center87.jpg,350139
dc0088,Perez and Sons Diagnostics,Kevin Flores,Radiology,3805119792,0136289187,dc0088@example.com,2186349059,678 Lynch Streets Apt. 319,New Andrew,New Jersey,12157,https://maps.google.com/?q=Robertmouth,932273,109670,"Blood Test, X-Ray, MRI",Yes,9:00 - 21:00,Laura Craig,"Shelton, Castro and Dixon",2951209702,IFSC0001234,gloriawatson@upi,/uploads/profiles/center88.jpg,187826
dc0089,Wolfe-Wiley Diagnostics,Sharon Morton,Cardiology Lab,3925635644,6164428860,dc0089@example.com,0647513345,3715 Logan Square,West Aliciahaven,Missouri,98119,https://maps.google.com/?q=Lake Matthew,374464,24180,"CT Scan, Mammography",No,7:00 - 20:00,Matthew Wilson,Miller-Foster,5593434833,IFSC0001234,nsantana@upi,/uploads/profiles/center89.jpg,517960
dc0090,Wilson Inc Diagnostics,Anthony Kent,Radiology,5061320520,5120375432,dc0090@example.com,5374177411,2062 Jason Villages,Lake Kara,Massachusetts,97513,https://maps.google.com/?q=Haleyfort,323908,542340,"CT Scan, Mammography",No,7:00 - 19:00,Jennifer Murphy,Macias-Allen,6347245863,IFSC0001234,ggill@upi,/uploads/profiles/center90.jpg,457027
dc0091,Ramirez and Sons Diagnostics,Deanna Weiss,Cardiology Lab,7895062340,9186649374,dc0091@example.com,5670964706,7513 Thomas Hills Apt. 776,West Michael,Virginia,81687,https://maps.google.com/?q=North Ashleyton,85509,997735,"CT Scan, Mammography",Yes,10:00 - 17:00,Hannah Alvarez,Charles-Allen,6638775538,IFSC0001234,blogan@upi,/uploads/profiles/center91.jpg,933411
dc0092,Hinton Inc Diagnostics,Todd Nelson,Imaging,1553364589,3479508083,dc0092@example.com,3838985091,08372 Fischer Roads,Douglastown,Utah,66703,https://maps.google.com/?q=Bennettland,776793,84648,"CT Scan, Mammography",Yes,9:00 - 22:00,Matthew Brown,Romero and Sons,7913294406,IFSC0001234,rittertanner@upi,/uploads/profiles/center92.jpg,854036
dc0093,Kelly Inc Diagnostics,John Jenkins,Pathology,9170069627,9267616667,dc0093@example.com,1287846686,8773 Berger Vista Suite 042,Vernonstad,Colorado,45856,https://maps.google.com/?q=Nicholasshire,836072,421113,"ECG, Ultrasound",No,7:00 - 19:00,James Sullivan,"Abbott, Lopez and Liu",1830584402,IFSC0001234,qbraun@upi,/uploads/profiles/center93.jpg,177622
dc0094,"Caldwell, Smith and Pena Diagnostics",Gregory Morales,Cardiology Lab,5494544134,8180441540,dc0094@example.com,1740151931,24242 Ellison Center,Kylefurt,Louisiana,62225,https://maps.google.com/?q=Cynthiamouth,748899,492517,"CT Scan, Mammography",No,8:00 - 20:00,Holly Kim,Osborne and Sons,3078378258,IFSC0001234,hudsonwilliam@upi,/uploads/profiles/center94.jpg,490138
dc0095,Kennedy and Sons Diagnostics,Christopher Gomez,Radiology,5118826621,6836746478,dc0095@example.com,5412663409,1042 Tina Summit,Davisburgh,Idaho,04367,https://maps.google.com/?q=North Dustinberg,812728,753878,"Blood Test, X-Ray, MRI",Yes,8:00 - 19:00,Deanna Fry,Sullivan-Lawson,8518062306,IFSC0001234,timothyadams@upi,/uploads/profiles/center95.jpg,749242
dc0096,Smith-Myers Diagnostics,Patricia Pollard,Imaging,8766547373,1794001836,dc0096@example.com,8953101830,89787 Jones Fall Suite 819,East Richard,Rhode Island,51895,https://maps.google.com/?q=Amystad,149225,302839,"Blood Test, X-Ray, MRI",Yes,9:00 - 22:00,Jennifer Morris,Mclean-Diaz,9514851552,IFSC0001234,wayne88@upi,/uploads/profiles/center96.jpg,401826
dc0097,"Cruz, Camacho and Freeman Diagnostics",Elizabeth Cruz DDS,Multi-specialty,9178331704,8515306463,dc0097@example.com,7663952702,92450 Hammond Islands Apt. 954,South Kylefort,Mississippi,84992,https://maps.google.com/?q=South Sherry,832911,861424,"ECG, Ultrasound",No,7:00 - 19:00,Mary Murphy,Finley-Griffin,5850264560,IFSC0001234,lmoran@upi,/uploads/profiles/center97.jpg,492661
dc0098,"Blankenship, Melendez and Freeman Diagnostics",Jeffrey George,Multi-specialty,7197462221,2828772208,dc0098@example.com,5432606627,82527 Stacey Burg Apt. 389,Susanstad,West Virginia,26589,https://maps.google.com/?q=East Helen,113522,341897,"CT Scan, Mammography",Yes,10:00 - 19:00,Jared Wilson,"Phillips, Hernandez and Barton",2045897492,IFSC0001234,dale91@upi,/uploads/profiles/center98.jpg,144007
dc0099,Hart Group Diagnostics,Bridget Lara,Radiology,6356672307,5078545971,dc0099@example.com,5438360790,751 Angela Viaduct,Welchtown,Ohio,83113,https://maps.google.com/?q=West Joseph,70325,390445,"Blood Test, X-Ray, MRI",Yes,8:00 - 19:00,Howard Kaiser,Nguyen-Burke,9419309992,IFSC0001234,raymond25@upi,/uploads/profiles/center99.jpg,459068
dc0100,Warner-Bass Diagnostics,James Bass,Radiology,8129158576,0935019824,dc0100@example.com,0288993341,10312 Steve Courts,New Johnbury,Delaware,40167,https://maps.google.com/?q=Amandaberg,729698,434374,"Blood Test, X-Ray, MRI",Yes,8:00 - 22:00,Whitney Frazier,Richard and Sons,1343541803,IFSC0001234,ian69@upi,/uploads/profiles/center100.jpg,848495
